番組	回	タイトル	再生	配信日	再生時間(分)	再生回数
heldio	1596	#1596. 声の書評 by 小河舜さん＆疋田海夢さん --- 苅部恒徳（編著）『英語固有名詞語源小辞典』（研究社，2011年）	<a href='https://voicy.jp/channel/1950/7150508'>play link</a>	2025/10/12	31	439
helwa	353	【英語史の輪 #353】高校生からの素朴な疑問 --- 川上さん通信 (23)	<a href='https://voicy.jp/channel/1950/7149030'>play link</a>	2025/10/11	25	76
heldio	1595	#1595. heldio 2025年第3四半期のリスナー投票の結果発表	<a href='https://voicy.jp/channel/1950/7164320'>play link</a>	2025/10/11	27	372
heldio	1594	#1594. 続・コーパスとは何か？ --- khelf メンバー3名で議論しています	<a href='https://voicy.jp/channel/1950/7150501'>play link</a>	2025/10/10	43	346
helwa	352	【英語史の輪 #352】私はこれができません --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7149489'>play link</a>	2025/10/09	27	96
heldio	1593	#1593. khelf メンバー4人でコーパスを語る --- 「英語史ライヴ20205」より	<a href='https://voicy.jp/channel/1950/7150494'>play link</a>	2025/10/09	14	373
heldio	1592	#1592. 声の書評 by khelf 泉類尚貴さん --- 滝沢直宏（著）『コーパスと英文法』（研究社，2017年）	<a href='https://voicy.jp/channel/1950/7151845'>play link</a>	2025/10/08	18	412
helwa	351	【英語史の輪 #351】Christchurch の美しい植物園より	<a href='https://voicy.jp/channel/1950/7159312'>play link</a>	2025/10/07	18	72
heldio	1591	#1591. 声の書評 by khelf 寺澤志帆さん --- 寺澤芳雄（著）『聖書の英語の研究』（研究社，2009年）	<a href='https://voicy.jp/channel/1950/7141668'>play link</a>	2025/10/07	13	417
heldio	1590	#1590. 声の書評 by khelf 木原桃子さん --- 武内信一（著）『英語文化史を知るための15章』（研究社，2009年）	<a href='https://voicy.jp/channel/1950/7135230'>play link</a>	2025/10/06	18	442
heldio	1589	#1589. 声の書評 by khelf 藤原郁弥さん --- 神山孝夫（著）『市河三喜伝』（研究社，2023年）	<a href='https://voicy.jp/channel/1950/7147287'>play link</a>	2025/10/05	21	441
helwa	350	【英語史の輪 #350】スーパーは英語ネタの宝庫です	<a href='https://voicy.jp/channel/1950/7150816'>play link</a>	2025/10/04	12	42
heldio	1588	#1588. 日本音声学会の音声学セミナー「現代英語の発音と「大母音推移」」を振り返って	<a href='https://voicy.jp/channel/1950/7135172'>play link</a>	2025/10/04	16	500
heldio	1587	#1587. Lilimi さんと語る続・登山用語 --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7135439'>play link</a>	2025/10/03	33	397
helwa	349	【英語史の輪 #349】ニュージーランド Christchurch に到着！	<a href='https://voicy.jp/channel/1950/7145346'>play link</a>	2025/10/02	21	60
heldio	1586	#1586. 名前×英語史 with 小河舜さん&青木輝さん --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7074762'>play link</a>	2025/10/02	41	510
heldio	1585	#1585. heldio 2025年第3四半期のベスト回を決めるリスナー投票 --- 10月7日までオープン	<a href='https://voicy.jp/channel/1950/7128703'>play link</a>	2025/10/01	23	347
helwa	348	【英語史の輪 #348】出発前の本当に最後の渋谷オフ会	<a href='https://voicy.jp/channel/1950/7132358'>play link</a>	2025/09/30	2	94
heldio	1584	#1584. Helvillian 10月号が公開！ --- 特集は「ことばにまつわる大人の自由研究【helwaコンテンツ2025】」	<a href='https://voicy.jp/channel/1950/7124232'>play link</a>	2025/09/30	27	383
heldio	1583	#1583. alligator でワニワニパニック --- khelf 寺澤志帆さんと語る	<a href='https://voicy.jp/channel/1950/7117674'>play link</a>	2025/09/29	23	436
heldio	1582	#1582. 『英語語源ハンドブック』にこじつけて学ぶドイツ語 with ykagata さん --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7124824'>play link</a>	2025/09/28	34	417
helwa	347	【英語史の輪 #347】出発前の最後の helwa 新宿オフ会	<a href='https://voicy.jp/channel/1950/7124995'>play link</a>	2025/09/28	41	39
heldio	1581	#1581. 歯科医学×英語史 with 無職さん --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7078580'>play link</a>	2025/09/27	31	506
helwa	346	【英語史の輪 #346】出発前なのにまだまだhel活	<a href='https://voicy.jp/channel/1950/7117209'>play link</a>	2025/09/26	18	58
heldio	1580	#1580. 「ゆる言語学ラジオ」『ターゲット1900』回にお邪魔してきました	<a href='https://voicy.jp/channel/1950/7109740'>play link</a>	2025/09/26	15	486
heldio	1579	#1579. 「大母音推移」は解体していくのか？ --- 9月28日（日）の音声学セミナーに向けて	<a href='https://voicy.jp/channel/1950/7110595'>play link</a>	2025/09/25	13	496
heldio	1578	#1578. 川上さんの「英語のなぜ5分版」やってます通信 --- 第21弾	<a href='https://voicy.jp/channel/1950/7116779'>play link</a>	2025/09/24	27	454
helwa	345	【英語史の輪 #345】来月から遊学に出かけます	<a href='https://voicy.jp/channel/1950/7114324'>play link</a>	2025/09/23	22	44
heldio	1577	#1577. helwa メンバー発信！中高生のあなたへ，私は今こうやって英語（外国語）とつきあっています --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7109402'>play link</a>	2025/09/23	36	505
heldio	1576	#1576. 英語に関する素朴な疑問 千本ノック with 小河舜さん --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7079078'>play link</a>	2025/09/22	58	493
heldio	1575	#1575. おかげさまで『英語語源ハンドブック』の再重版決定！ --- 用語解説の「大母音推移」を読んでみます	<a href='https://voicy.jp/channel/1950/7100158'>play link</a>	2025/09/21	19	396
helwa	344	【英語史の輪 #344】10月以降のhel活をどうしようか問題	<a href='https://voicy.jp/channel/1950/7100154'>play link</a>	2025/09/20	26	45
heldio	1574	"#1574. ""English"" という英単語について思いをめぐらせたことはありますか？ --- 9月27日の朝カル講座"	<a href='https://voicy.jp/channel/1950/7099532'>play link</a>	2025/09/20	20	461
heldio	1573	#1573. 英語史の古典的名著 Baugh and Cable を読む (62-3) with Taku さん --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7099352'>play link</a>	2025/09/19	50	455
helwa	343	【英語史の輪 #343】ロンドンの lacolaco さんと中継でつながっています --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7098915'>play link</a>	2025/09/18	21	81
heldio	1572	#1572. 「いのほたなぜ」が英語部門で第2位をマーク --- 超ざっくり英語史年表もついています	<a href='https://voicy.jp/channel/1950/7087240'>play link</a>	2025/09/18	19	371
helwa	342	【英語史の輪 #342】「英語史ライヴ2025」の振り返り	<a href='https://voicy.jp/channel/1950/7087765'>play link</a>	2025/09/17	14	41
heldio	1571	#1571. khelf 大学院生の研究テーマ	<a href='https://voicy.jp/channel/1950/7087690'>play link</a>	2025/09/17	13	459
heldio	1570	#1570. ゼミ合宿飲み会で，継続こそがすべてという話しをしました	<a href='https://voicy.jp/channel/1950/7087577'>play link</a>	2025/09/16	14	473
heldio	1569	#1569. 「いのほたなぜ」予約爆撃アワー --- 「英語史ライヴ2025」より	<a href='https://voicy.jp/channel/1950/7078596'>play link</a>	2025/09/15	55	366
heldio	1568	#1568. 「英語史ライヴ2025」が終わった帰りの電車で --- 小河舜さん＆まさにゃん	<a href='https://voicy.jp/channel/1950/7078635'>play link</a>	2025/09/14	15	433
heldio	1567	#1567. 「英語史ライヴ2025 by khelf & helwa」が始まります	<a href='https://voicy.jp/channel/1950/7075173'>play link</a>	2025/09/13	23	433
heldio	1566	#1566. 英語史の用語辞典？ --- まずは『英語学・言語学用語辞典』を紹介します	<a href='https://voicy.jp/channel/1950/7080814'>play link</a>	2025/09/12	18	486
helwa	341	【英語史の輪 #341】「英語史ライヴ2025」直前の helwa 回	<a href='https://voicy.jp/channel/1950/7081792'>play link</a>	2025/09/11	23	55
heldio	1565	#1565. 「英語史ライヴ2025」が明後日に迫りました --- 裏で起こっていることをチラッと	<a href='https://voicy.jp/channel/1950/7075854'>play link</a>	2025/09/11	22	421
heldio	1564	#1564. 苅部恒徳（編著）『英語固有名詞語源小辞典』（研究社，2011年）	<a href='https://voicy.jp/channel/1950/7073838'>play link</a>	2025/09/10	16	434
helwa	340	【英語史の輪 #340】hel活三昧の週，締めくくりは「英語史ライヴ2025」	<a href='https://voicy.jp/channel/1950/7067619'>play link</a>	2025/09/09	23	59
heldio	1563	#1563. life/live ペアの怪について	<a href='https://voicy.jp/channel/1950/7064718'>play link</a>	2025/09/09	29	459
heldio	1562	#1562. 「英語史ライヴ2025」の千本ノックのための英語に関する素朴な疑問を募集	<a href='https://voicy.jp/channel/1950/7060602'>play link</a>	2025/09/08	25	409
heldio	1561	#1561. OED の使い道を考える with 泉類尚貴さん --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/7064832'>play link</a>	2025/09/07	32	419
helwa	339	【英語史の輪 #339】「英語史ライヴ2025」のスケジュール組みに苦戦しています	<a href='https://voicy.jp/channel/1950/7053764'>play link</a>	2025/09/06	30	81
heldio	1560	#1560. 1週間後は「英語史ライヴ2025」 --- 特設ページもご覧ください	<a href='https://voicy.jp/channel/1950/7060828'>play link</a>	2025/09/06	16	387
heldio	1559	#1559. 10月15日に「いのほた本」が出ます！ --- ご予約はちょっとお待ちいただければ	<a href='https://voicy.jp/channel/1950/7057838'>play link</a>	2025/09/05	20	436
helwa	338	【英語史の輪 #338】「英語史ライヴ2025」の特設ページが公開となりました	<a href='https://voicy.jp/channel/1950/7049677'>play link</a>	2025/09/04	30	43
heldio	1558	#1558. 川上さんの「英語のなぜ5分版」やってます通信 --- 第20弾	<a href='https://voicy.jp/channel/1950/7039131'>play link</a>	2025/09/04	26	477
heldio	1557	#1557. 日本音声学会の音声学セミナーで「現代英語の発音と「大母音推移」」をお話しします	<a href='https://voicy.jp/channel/1950/7039125'>play link</a>	2025/09/03	15	466
helwa	337	【英語史の輪 #337】「英語史×歯科」が成立しました	<a href='https://voicy.jp/channel/1950/7049396'>play link</a>	2025/09/02	20	47
heldio	1556	#1556. khelf 寺澤志帆さんの「『英語語源辞典』でたどる英語綴字史」が好調です --- RSS も用意されています	<a href='https://voicy.jp/channel/1950/7042500'>play link</a>	2025/09/02	19	427
heldio	1555	#1555. 英語の規範はいかにしてできたのか？ --- 昨日 Mond に寄せられた疑問に回答しました	<a href='https://voicy.jp/channel/1950/7035208'>play link</a>	2025/09/01	24	484
heldio	1554	#1554. 昨日の朝日サンヤツに『英語語源ハンドブック』が掲載 --- そして英語史ライヴ (live) の語源	<a href='https://voicy.jp/channel/1950/7043292'>play link</a>	2025/08/31	17	434
helwa	336	【英語史の輪 #336】8月最後の helwa は110分のダラダラおしゃべり回 with 無職さん & Taku さん	<a href='https://voicy.jp/channel/1950/7028763'>play link</a>	2025/08/30	1	108
heldio	1553	#1553. 9月13日（土）に「英語史ライヴ2025」を開催します	<a href='https://voicy.jp/channel/1950/7028706'>play link</a>	2025/08/30	17	412
heldio	1552	#1552. Helvillian 9月号が公開！ --- 特集は「ことばにまつわる大人の自由研究」	<a href='https://voicy.jp/channel/1950/7036863'>play link</a>	2025/08/29	14	466
helwa	335	【英語史の輪 #335】盛り上がるhel活，そして「英語史ライヴ2025」へ	<a href='https://voicy.jp/channel/1950/7028232'>play link</a>	2025/08/28	24	54
heldio	1551	#1551. 「文藝春秋PLUS」で再び英語史をお話ししてきました	<a href='https://voicy.jp/channel/1950/7028479'>play link</a>	2025/08/28	17	455
heldio	1550	#1550. 夏スク「英語史」が終わりました	<a href='https://voicy.jp/channel/1950/7027991'>play link</a>	2025/08/27	18	557
helwa	334	【英語史の輪 #334】『英語語源ハンドブック』Tシャツ	<a href='https://voicy.jp/channel/1950/7027465'>play link</a>	2025/08/26	24	50
heldio	1549	#1549. 『英語語源ハンドブック』正誤表の公開，そして yes の語源	<a href='https://voicy.jp/channel/1950/7026805'>play link</a>	2025/08/26	17	455
heldio	1548	#1548. 英語史の古典的名著 Baugh and Cable を読む (62-2) The Earlier Influence of Christianity on the Vocabulary	<a href='https://voicy.jp/channel/1950/7013697'>play link</a>	2025/08/25	26	451
helwa	333	【英語史の輪 #333】皆さんの業界ジャーゴンは？ --- 新宿オフ会より	<a href='https://voicy.jp/channel/1950/7014162'>play link</a>	2025/08/24	12	86
heldio	1547	#1547. 英語に関する素朴な疑問　千本ノック for 夏スク「英語史」（後編）	<a href='https://voicy.jp/channel/1950/7010246'>play link</a>	2025/08/24	36	539
heldio	1546	#1546. 英語史の古典的名著 Baugh and Cable を読む (62-1) The Earlier Influence of Christianity on the Vocabulary	<a href='https://voicy.jp/channel/1950/7013505'>play link</a>	2025/08/23	45	470
helwa	332	【英語史の輪 #332】無職さん參上	<a href='https://voicy.jp/channel/1950/7013897'>play link</a>	2025/08/22	19	58
heldio	1545	#1545. 「グリムの法則」は本当はラスクが見つけていた	<a href='https://voicy.jp/channel/1950/7013476'>play link</a>	2025/08/22	13	421
heldio	1544	#1544. 英語に関する素朴な疑問　千本ノック for 夏スク「英語史」（前編）	<a href='https://voicy.jp/channel/1950/7012835'>play link</a>	2025/08/21	42	637
heldio	1543	#1543. 今日から1週間，夏期スクーリング「英語史」	<a href='https://voicy.jp/channel/1950/7002353'>play link</a>	2025/08/20	13	549
helwa	331	【英語史の輪 #331】高校生からの素朴な疑問 --- 川上さん通信 (22)	<a href='https://voicy.jp/channel/1950/6999775'>play link</a>	2025/08/19	39	72
heldio	1542	#1542. 川上さんの「英語のなぜ5分版」やってます通信 --- 第19弾	<a href='https://voicy.jp/channel/1950/7002329'>play link</a>	2025/08/19	17	455
heldio	1541	#1541. 英語史を通じて接続詞はどんどん増えてきた	<a href='https://voicy.jp/channel/1950/7001345'>play link</a>	2025/08/18	15	537
heldio	1540	#1540. リスナーの皆さんの「推し接続詞」を紹介します	<a href='https://voicy.jp/channel/1950/6989165'>play link</a>	2025/08/17	23	464
helwa	330	【英語史の輪 #330】久しぶりに Mond に回答しています	<a href='https://voicy.jp/channel/1950/6989729'>play link</a>	2025/08/16	21	45
heldio	1539	#1539. 8月23日の朝カル講座 --- guy で味わう英語史	<a href='https://voicy.jp/channel/1950/6989507'>play link</a>	2025/08/16	13	451
heldio	1538	#1538. 『英語語源ハンドブック』の宴 --- 「いのほた言語学チャンネル」最新回より	<a href='https://voicy.jp/channel/1950/6993348'>play link</a>	2025/08/15	18	437
helwa	329	【英語史の輪 #329】「英語史ライヴ2025」の企画案	<a href='https://voicy.jp/channel/1950/6993345'>play link</a>	2025/08/14	22	58
heldio	1537	#1537. I と my/me/mine は補充法 --- 『英語教育』9月号に『英語語源ハンドブック』の書評が掲載されました	<a href='https://voicy.jp/channel/1950/6988470'>play link</a>	2025/08/14	14	491
heldio	1536	#1536. 『英語語源ハンドブック』の著者の1人小塚良孝さんが ZIP-FM に出演！	<a href='https://voicy.jp/channel/1950/6979263'>play link</a>	2025/08/13	12	450
helwa	328	【英語史の輪 #328】どうする英語史ライヴ2025	<a href='https://voicy.jp/channel/1950/6988287'>play link</a>	2025/08/12	23	38
heldio	1535	#1535. 笑，草，gaers を考える --- 北澤茉奈さんとの対談	<a href='https://voicy.jp/channel/1950/6974669'>play link</a>	2025/08/12	24	410
heldio	1534	#1534. 10人で千本ノック --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6981343'>play link</a>	2025/08/11	22	387
heldio	1533	#1533. Wulfstan 版「主の祈り」で古英語音読 --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6958299'>play link</a>	2025/08/10	36	493
helwa	327	【英語史の輪 #327】久しぶりに北澤茉奈さんとの対談 --- 博士論文研究について語ってもらいました	<a href='https://voicy.jp/channel/1950/6978904'>play link</a>	2025/08/09	25	49
heldio	1532	#1532. Helvillian 8月号の紹介 by 編集委員 --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6953503'>play link</a>	2025/08/09	32	315
heldio	1531	#1531. あなたの『英語語源ハンドブック』の推しの項目は？ (3) --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6960158'>play link</a>	2025/08/08	19	447
helwa	326	【英語史の輪 #326】横浜中華街「三和楼」にて10名で懇親会 --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6971846'>play link</a>	2025/08/07	17	36
heldio	1530	#1530. あなたの『英語語源ハンドブック』の推しの項目は？ (2) --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6964549'>play link</a>	2025/08/07	20	460
heldio	1529	#1529. あなたの『英語語源ハンドブック』の推しの項目は？ (1) --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6964026'>play link</a>	2025/08/06	13	416
helwa	325	【英語史の輪 #325】「プチ英語史ライヴ from 横浜」を終えて	<a href='https://voicy.jp/channel/1950/6966350'>play link</a>	2025/08/05	38	41
heldio	1528	#1528. 『英語語源ハンドブック』重版出来 --- 本書のLPを作りました	<a href='https://voicy.jp/channel/1950/6963816'>play link</a>	2025/08/05	20	352
heldio	1527	#1527. crocodile の怪 --- lacolaco さんと語源学を語る（プチ英語史ライヴ from 横浜）	<a href='https://voicy.jp/channel/1950/6958277'>play link</a>	2025/08/04	31	324
heldio	1526	#1526. 「あなたの推し接続詞」を語る回 --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6953496'>play link</a>	2025/08/03	33	281
helwa	324	【英語史の輪 #324】OED の使い道を考える --- プチ英語史ライヴ from 横浜	<a href='https://voicy.jp/channel/1950/6957793'>play link</a>	2025/08/03	25	34
heldio	1525	#1525. 本日は「プチ英語史ライヴ from 横浜」で英語史漬け	<a href='https://voicy.jp/channel/1950/6953447'>play link</a>	2025/08/02	16	367
heldio	1524	#1524. khelf の英語史専攻大学院生の平均注目年代は？	<a href='https://voicy.jp/channel/1950/6950862'>play link</a>	2025/08/01	24	411
helwa	323	【英語史の輪 #323】明後日（土）は「プチ英語史ライヴ from 横浜」	<a href='https://voicy.jp/channel/1950/6942641'>play link</a>	2025/07/31	24	48
heldio	1523	#1523. YouTube での英語史ショート動画シリーズ「helshort」をゆるゆると始めています	<a href='https://voicy.jp/channel/1950/6942486'>play link</a>	2025/07/31	15	411
heldio	1522	#1522. 「英語史」の講義を終えて --- 2025年度前期版	<a href='https://voicy.jp/channel/1950/6939061'>play link</a>	2025/07/30	18	467
helwa	322	【英語史の輪 #322】土曜日は「プチ英語史ライヴ from 横浜」になるかもしれません	<a href='https://voicy.jp/channel/1950/6944841'>play link</a>	2025/07/29	26	53
heldio	1521	#1521. Helvillian 8月号が公開！ --- 特集は「辞書からことばの世界をのぞく」	<a href='https://voicy.jp/channel/1950/6939334'>play link</a>	2025/07/29	25	455
heldio	1520	#1520. あなたの推し接続詞を教えてください	<a href='https://voicy.jp/channel/1950/6928267'>play link</a>	2025/07/28	20	470
heldio	1519	#1519. コメント返し 2025/07/26(Sat)	<a href='https://voicy.jp/channel/1950/6932463'>play link</a>	2025/07/27	28	296
helwa	321	【英語史の輪 #321】しかし、接続詞を語り続ける helwa 生配信	<a href='https://voicy.jp/channel/1950/6932484'>play link</a>	2025/07/27	55	45
heldio	1518	#1518. 現代英語の but，古英語の ac	<a href='https://voicy.jp/channel/1950/6924668'>play link</a>	2025/07/26	15	568
heldio	1517	#1517. etymography 「語誌学」の妄想	<a href='https://voicy.jp/channel/1950/6917275'>play link</a>	2025/07/25	16	514
helwa	320	【英語史の輪 #320】「地球ことば村」直前の生配信 with ykagata さん	<a href='https://voicy.jp/channel/1950/6929818'>play link</a>	2025/07/24	15	37
heldio	1516	#1516. 語源学者は複数の語源説があるとき，どのようにしてどちらが正しいと判断するのですか？	<a href='https://voicy.jp/channel/1950/6917165'>play link</a>	2025/07/24	18	648
heldio	1515	#1515. 7月26日の朝カル講座 --- 皆で but について考えてみませんか？	<a href='https://voicy.jp/channel/1950/6915993'>play link</a>	2025/07/23	20	532
helwa	319	【英語史の輪 #319】うまくいきそうな語源論法を募集！	<a href='https://voicy.jp/channel/1950/6917030'>play link</a>	2025/07/22	31	54
heldio	1514	#1514. 語源論法に要注意	<a href='https://voicy.jp/channel/1950/6916866'>play link</a>	2025/07/22	15	1031
heldio	1513	#1513. 「語源は思考の糧である」 --- 小塚語録より	<a href='https://voicy.jp/channel/1950/6915851'>play link</a>	2025/07/21	15	494
helwa	318	【英語史の輪 #318】『英語語源ハンドブック』著者鼎談の懇親会2次会 with 小塚良孝さん	<a href='https://voicy.jp/channel/1950/6913447'>play link</a>	2025/07/20	15	147
heldio	1512	#1512. 朝カルの『英語語源ハンドブック』著者鼎談の直前収録	<a href='https://voicy.jp/channel/1950/6914329'>play link</a>	2025/07/19	17	445
heldio	1511	#1511. 言語はどのように生まれたか --- ゆる言語学ラジオの水野太貴さんの『中央公論』連載「ことばの変化をつかまえる」より	<a href='https://voicy.jp/channel/1950/6907994'>play link</a>	2025/07/19	19	588
heldio	1510	#1510. 「辞書」雑談 by khelf メンバー6名	<a href='https://voicy.jp/channel/1950/6902588'>play link</a>	2025/07/18	41	484
helwa	317	【英語史の輪 #317】高校生からの素朴な疑問 --- 川上さん通信 (21)	<a href='https://voicy.jp/channel/1950/6906827'>play link</a>	2025/07/17	29	69
heldio	1509	#1509. Mrs. の発音はなぜ「ミスターズ」ではないのか --- khelf ゼミ生高野さんの「英語史コンテンツ」	<a href='https://voicy.jp/channel/1950/6902439'>play link</a>	2025/07/17	15	600
heldio	1508	#1508. 『The Japan Times Alpha J』の7月11日号で特別記事を掲載していただいています	<a href='https://voicy.jp/channel/1950/6900350'>play link</a>	2025/07/16	21	516
helwa	316	【英語史の輪 #316】諸々，ヘルメイトの皆さんに焚き付けられて	<a href='https://voicy.jp/channel/1950/6894135'>play link</a>	2025/07/15	18	73
heldio	1507	#1507. またまた嶋田珠巳先生といっしょにコメント返し	<a href='https://voicy.jp/channel/1950/6897836'>play link</a>	2025/07/15	20	519
heldio	1506	#1506. 綴字と発音の乖離は歴史の遺産--- 『スペリングの英語史』より	<a href='https://voicy.jp/channel/1950/6889094'>play link</a>	2025/07/14	21	596
heldio	1505	#1505. heldio 2025年第2四半期のリスナー投票の結果発表	<a href='https://voicy.jp/channel/1950/6892340'>play link</a>	2025/07/13	25	471
helwa	315	【英語史の輪 #315】この夏はヘルメイトとhel活！	<a href='https://voicy.jp/channel/1950/6888949'>play link</a>	2025/07/12	32	48
heldio	1504	#1504. khelf メンバーによる『英語史新聞』第12号の読みどころ紹介	<a href='https://voicy.jp/channel/1950/6885108'>play link</a>	2025/07/12	49	924
heldio	1503	#1503. 7月19日（土）午後，朝カルで「深堀り『英語語源ハンドブック』徹底解読術　出版記念・鼎談」を開講します	<a href='https://voicy.jp/channel/1950/6885365'>play link</a>	2025/07/11	18	524
helwa	314	【英語史の輪 #314】福田一貴さん＆小河舜さんとのフォトチャレンジ後の2次会より --- 西米良村オフ会の夢？	<a href='https://voicy.jp/channel/1950/6882797'>play link</a>	2025/07/10	24	43
heldio	1502	#1502. 「21」をどのように表現するか？ --- 複合数詞の問題	<a href='https://voicy.jp/channel/1950/6878030'>play link</a>	2025/07/10	14	617
heldio	1501	#1501. 「主の祈り」で味わう古英語の文体 --- Helvillian 7月号掲載，小河舜さんによる渾身の記事	<a href='https://voicy.jp/channel/1950/6879828'>play link</a>	2025/07/09	15	666
helwa	313	【英語史の輪 #313】フォトチャレンジ前の福田一貴さん（駒澤大学）と雑談	<a href='https://voicy.jp/channel/1950/6880841'>play link</a>	2025/07/09	35	34
heldio	1500	#1500. that 節を語ろう --- 名古屋オフ会より生配信	<a href='https://voicy.jp/channel/1950/6849924'>play link</a>	2025/07/08	37	557
heldio	1499	#1499. 『英語史新聞』第12号が公開されました	<a href='https://voicy.jp/channel/1950/6871029'>play link</a>	2025/07/07	19	510
heldio	1498	#1498. いきなり井上逸兵さんと生配信（のアーカイヴ）	<a href='https://voicy.jp/channel/1950/6863689'>play link</a>	2025/07/06	41	714
helwa	312	【英語史の輪 #312】高校生からの素朴な疑問 --- 川上さん通信 (20)	<a href='https://voicy.jp/channel/1950/6863662'>play link</a>	2025/07/05	35	83
heldio	1497	#1497. 『英語語源ハンドブック』の重版決定 --- 昨日お昼の緊急生配信より	<a href='https://voicy.jp/channel/1950/6867811'>play link</a>	2025/07/05	28	489
heldio	1496	#1496. heldio 2025年第2四半期のベスト回を決めるリスナー投票 --- 7月10日までオープン	<a href='https://voicy.jp/channel/1950/6860097'>play link</a>	2025/07/04	19	472
helwa	311	【英語史の輪 #311】名古屋オフ会を終えて	<a href='https://voicy.jp/channel/1950/6856166'>play link</a>	2025/07/03	48	59
heldio	1495	#1495. do の不思議を専門家に尋ねる --- 名古屋オフ会に矢冨弘さん登場	<a href='https://voicy.jp/channel/1950/6851800'>play link</a>	2025/07/03	23	595
heldio	1494	#1494. Helvillian 7月号が公開！ --- 古英語を嗜もう	<a href='https://voicy.jp/channel/1950/6850178'>play link</a>	2025/07/02	18	541
helwa	310	【英語史の輪 #310】名古屋オフ会より helwa 生配信（後編）	<a href='https://voicy.jp/channel/1950/6854337'>play link</a>	2025/07/01	23	44
heldio	1493	#1493. 知覚動詞構文と知覚の直接性について --- 名古屋オフ会で村岡宗一郎さんと対談	<a href='https://voicy.jp/channel/1950/6851330'>play link</a>	2025/07/01	26	775
helwa	309	【英語史の輪 #309】名古屋オフ会より helwa 生配信（前編）	<a href='https://voicy.jp/channel/1950/6851338'>play link</a>	2025/06/30	44	61
heldio	1492	#1492. 矢冨弘さんの国際学会発表の報告	<a href='https://voicy.jp/channel/1950/6845999'>play link</a>	2025/06/30	17	549
